Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|03/09/2024|Vente|399000,00|1||AV|0130|DES ANGLAIS|6400|CANNES|06|29||CZ|111||148||480|71,01|||||||2|3|Dépendance||0|0|||
|||||||000001|03/09/2024|Vente|399000,00|1||AV|0130|DES ANGLAIS|6400|CANNES|06|29||CZ|111||160||||||||||1|3|Dépendance||0|0|||
|||||||000001|04/09/2024|Vente|280000,00|16||AV|3450|DU ROI ALBERT|6400|CANNES|06|29||CM|75||24|57,43|7||||||||2|3|Dépendance||0|0|||
|||||||000001|04/09/2024|Vente|280000,00|16||AV|3450|DU ROI ALBERT|6400|CANNES|06|29||CM|75||24|57,43|7||||||||2|3|Dépendance||0|0|||
|||||||000001|04/09/2024|Vente|280000,00|16||AV|3450|DU ROI ALBERT|6400|CANNES|06|29||CM|75||24|57,43|7||||||||2|3|Dépendance||0|0|||
|||||||000001|04/09/2024|Vente|280000,00|16||AV|3450|DU ROI ALBERT|6400|CANNES|06|29||CM|75||24|57,43|7||||||||2|3|Dépendance||0|0|||
|||||||000001|04/09/2024|Vente|280000,00|16||AV|3450|DU ROI ALBERT|6400|CANNES|06|29||CM|75||24|57,43|7||||||||2|2|Appartement||48|2|||
|||||||000001|04/09/2024|Vente|280000,00|16||AV|3450|DU ROI ALBERT|6400|CANNES|06|29||CM|75||14||||||||||1|3|Dépendance||0|0|||
|||||||000001|03/09/2024|Vente|106000,00|19||RUE|0490|BOUCICAUT|6400|CANNES|06|29||CS|63||132||||||||||1|3|Dépendance||0|0|||
|||||||000001|03/09/2024|Vente|106000,00|17|B|RUE|0490|BOUCICAUT|6400|CANNES|06|29||CS|63||80|22,80|||||||||1|2|Appartement||23|1|||
|||||||000001|17/09/2024|Vente|39000,00|25||AV|2430|MAURICE DERCHE|6400|CANNES|06|29||BI|142||1|12,76|||||||||1|3|Dépendance||0|0|||
|||||||000001|04/09/2024|Vente|1140000,00|6||AV|1730|JEAN DE NOAILLES|6400|CANNES|06|29||AW|202||368||506|134,14|||||||2|2|Appartement||138|5|||
|||||||000001|04/09/2024|Vente|1140000,00|6||AV|1730|JEAN DE NOAILLES|6400|CANNES|06|29||AW|202||357||||||||||1|3|Dépendance||0|0|||
|||||||000001|28/08/2024|Vente|5000,00|18||BD|2660|MONTFLEURY|6400|CANNES|06|29||CO|20||5||||||||||1|3|Dépendance||0|0|||
|||||||000001|28/08/2024|Vente|5000,00|18||BD|2660|MONTFLEURY|6400|CANNES|06|29||CO|20||4||||||||||1|3|Dépendance||0|0|||
|||||||000001|05/09/2024|Vente|782000,00|58||AV|2347|DU MARECHAL JUIN|6400|CANNES|06|29||CH|218||149|102,72|83||||||||2|2|Appartement||87|3|||
